attack,dataset,model,defense,f1_clean_mean,f1_clean_std,f1_attacked_mean,f1_attacked_std,delta_f1_mean,delta_f1_std
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.3683360258481422,0.0,0.0086721603019236,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.077834179357022,0.0,-0.015343857248635202,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.10544815465729349,0.0,-0.029459096607461897,0.0
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.1072026800670016,0.0,-0.0092698656900698,0.0
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.1235392320534223,0.0,-0.0124475009482359,0.0
prompt_injection,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.5254515599343186,0.0,0.0636333781161367,0.0
prompt_injection,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.3844580777096114,0.0,0.0781935765495186,0.0
prompt_injection,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.12034383954154722,0.0,-0.0099677751893309,0.0
prompt_injection,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.1220930232558139,0.0,-0.015049833887043198,0.0
prompt_injection,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.1246458923512747,0.0,-0.0101855683228825,0.0
prompt_injection,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.1371428571428571,0.0,-0.0093360160965794,0.0
